Indicator,Goal,Target,degree,btwn,eigen.vector,eigen.value
1.1.1,1,1.1,1,0,2.1723870800986974e-17,8.403587622039566
1.2.1,1,1.2,1,0,2.3732099729124502e-17,8.403587622039566
1.2.2,1,1.2,1,0,2.60201665833744e-4,8.403587622039566
1.3.1,1,1.3,1,0,1.958502898898289e-4,8.403587622039566
1.4.1,1,1.4,8,878.70235042735,0.0010223271267315367,8.403587622039566
1.4.2,1,1.4,8,1075.7228388965775,0.012432519433261872,8.403587622039566
1.5.1,1,1.5,4,3.333333333333332,1.3486500877136287e-16,8.403587622039566
1.5.2,1,1.5,7,44,3.1914719663744665e-16,8.403587622039566
1.5.3,1,1.5,6,0,3.495829655617374e-16,8.403587622039566
1.5.4,1,1.5,7,1.3333333333333333,3.273068169355696e-16,8.403587622039566
1.a.1,1,1.a,11,857.5149893676736,0.8871838831909156,8.403587622039566
1.a.2,1,1.a,11,2361.7944263498066,0.018115314112339954,8.403587622039566
1.b.1,1,1.b,2,140,0.0021866274982344125,8.403587622039566
10.1.1,10,10.1,4,1552.7014569667936,9.032869385701898e-4,8.403587622039566
10.2.1,10,10.2,2,342.3916231420123,0.002538391735012767,8.403587622039566
10.3.1,10,10.3,6,375.24523940248906,0.04312381042133205,8.403587622039566
10.4.1,10,10.4,2,71.80739772690431,9.162740170749352e-4,8.403587622039566
10.6.1,10,10.6,4,131.78266332412014,0.07424002526764102,8.403587622039566
10.7.1,10,10.7,1,0,1.8417380002023803e-17,8.403587622039566
10.7.4,10,10.7,2,0,4.0159993423588145e-17,8.403587622039566
10.a.1,10,10.a,4,39.51172581516843,0.20423056720959135,8.403587622039566
10.b.1,10,10.b,8,140,0.7388039719488937,8.403587622039566
10.c.1,10,10.c,1,0,2.2594454400246458e-17,8.403587622039566
11.1.1,11,11.1,1,0,2.1503472581365584e-17,8.403587622039566
11.2.1,11,11.2,1,0,1.2165365231041766e-4,8.403587622039566
11.3.1,11,11.3,6,1275.4122004195387,0.002892562408963285,8.403587622039566
11.3.2,11,11.3,2,319.86969696969703,0.011276695594613908,8.403587622039566
11.4.1,11,11.4,1,0,0.0021556643337460055,8.403587622039566
11.5.1,11,11.5,4,3.333333333333332,1.4948904949089544e-16,8.403587622039566
11.5.2,11,11.5,7,7.999999999999999,3.9098948740647256e-16,8.403587622039566
11.6.1,11,11.6,2,140,1.2340104033747843e-4,8.403587622039566
11.7.2,11,11.7,1,0,4.0013601368630333e-7,8.403587622039566
11.a.1,11,11.a,3,207.18636363636358,0.0015170390791411166,8.403587622039566
11.b.1,11,11.b,6,0,3.0360090890360904e-16,8.403587622039566
11.b.2,11,11.b,8,12.33333333333333,3.925774447766974e-16,8.403587622039566
12.1.1,12,12.1,3,85.58268398268399,0.0011540269359220894,8.403587622039566
12.2.1,12,12.2,3,0,8.383572424575104e-17,8.403587622039566
12.2.2,12,12.2,3,0,7.998102448488376e-17,8.403587622039566
12.3.1,12,12.3,1,0,4.0980369653944344e-17,8.403587622039566
12.4.1,12,12.4,1,0,2.2743256438599583e-17,8.403587622039566
12.4.2,12,12.4,1,0,1.468432839493231e-5,8.403587622039566
12.8.1,12,12.8,4,455.87702388298436,0.003002376201358602,8.403587622039566
12.a.1,12,12.a,4,256.39478070948684,0.01885879817743551,8.403587622039566
12.b.1,12,12.b,1,0,1.6580953753199395e-17,8.403587622039566
12.c.1,12,12.c,2,336.9665335004652,0.0027194853709462054,8.403587622039566
13.1.1,13,13.1,4,3.333333333333332,1.2860795674405186e-16,8.403587622039566
13.1.2,13,13.1,6,0,3.094214225612658e-16,8.403587622039566
13.1.3,13,13.1,8,12.33333333333333,3.739517998348359e-16,8.403587622039566
13.2.1,13,13.2,2,0,4.642448122563477e-17,8.403587622039566
13.2.2,13,13.2,4,5,8.709403289756207e-17,8.403587622039566
13.3.1,13,13.3,4,455.87702388298436,0.003002376201358607,8.403587622039566
13.a.1,13,13.a,1,0,2.1083340029528184e-17,8.403587622039566
13.b.1,13,13.b,2,0,4.6089045005234104e-17,8.403587622039566
14.4.1,14,14.4,1,0,1.498378926588744e-4,8.403587622039566
14.5.1,14,14.5,5,50.75343497082627,8.800327303302721e-4,8.403587622039566
14.6.1,14,14.6,1,0,9.356812175513521e-4,8.403587622039566
14.7.1,14,14.7,6,354.8362054612058,0.0012591758600604863,8.403587622039566
14.b.1,14,14.b,3,269.7209595959597,0.0015340961419836908,8.403587622039566
14.c.1,14,14.c,4,389.880303030303,0.00786307909798939,8.403587622039566
15.1.1,15,15.1,7,814.5777652299389,0.0016227124142439585,8.403587622039566
15.1.2,15,15.1,7,332.374985642377,0.001561738619326778,8.403587622039566
15.2.1,15,15.2,1,0,1.930975777521803e-4,8.403587622039566
15.3.1,15,15.3,7,922.202136840852,0.003514146180961016,8.403587622039566
15.4.1,15,15.4,7,288.19760468999584,0.0015316236444536337,8.403587622039566
15.4.2,15,15.4,1,0,1.8225830601645691e-4,8.403587622039566
15.6.1,15,15.6,1,0,1.998526114729497e-17,8.403587622039566
15.7.1,15,15.7,1,0,2.396012415172031e-17,8.403587622039566
15.9.1,15,15.9,5,369.50462182744786,0.005945033948667309,8.403587622039566
15.a.1,15,15.a,5,7.5666666666666655,0.0013396787407840994,8.403587622039566
15.b.1,15,15.b,5,7.5666666666666655,0.0013396787407841026,8.403587622039566
15.c.1,15,15.c,1,0,2.059704212355169e-17,8.403587622039566
16.1.1,16,16.1,3,4,4.659323046964979e-17,8.403587622039566
16.1.2,16,16.1,2,0,2.8188438393718786e-17,8.403587622039566
16.1.3,16,16.1,6,281,3.362578051629315e-6,8.403587622039566
16.10.1,16,16.1,4,140,0.014503367525286958,8.403587622039566
16.10.2,16,16.1,1,0,0.04205903482369805,8.403587622039566
16.2.1,16,16.2,3,140,2.593496017725974e-6,8.403587622039566
16.2.3,16,16.2,10,1129.4781526272516,1.8123475264336792e-5,8.403587622039566
16.3.1,16,16.3,1,0,4.001360136894944e-7,8.403587622039566
16.3.3,16,16.3,1,0,3.0861771596694496e-7,8.403587622039566
16.4.1,16,16.4,1,0,0.08791530536449442,8.403587622039566
16.5.2,16,16.5,1,0,8.040244990145852e-5,8.403587622039566
16.6.1,16,16.6,4,1637.0835977993395,0.09482304365711942,8.403587622039566
16.6.2,16,16.6,4,383.60569561157797,6.756690327734e-4,8.403587622039566
16.7.2,16,16.7,1,0,8.040244990145521e-5,8.403587622039566
16.8.1,16,16.8,6,408.6971132816648,0.18418815211702855,8.403587622039566
16.9.1,16,16.9,3,74.51666666666665,5.463465858188692e-6,8.403587622039566
16.a.1,16,16.a,4,24.00883367839889,0.03390684470733524,8.403587622039566
16.b.1,16,16.b,6,375.24523940248906,0.043123810421332044,8.403587622039566
17.1.1,17,17.1,2,140,0.0016458450718908543,8.403587622039566
17.1.2,17,17.1,3,278,0.013635152984046701,8.403587622039566
17.10.1,17,17.1,2,0,0.060301798867258595,8.403587622039566
17.11.1,17,17.11,3,472.69470810363975,0.03709771692075195,8.403587622039566
17.12.1,17,17.12,6,386.112516609074,0.3025208833380223,8.403587622039566
17.14.1,17,17.14,2,0,3.1784829708423457e-4,8.403587622039566
17.15.1,17,17.15,3,77.75843946717974,0.16855889805115531,8.403587622039566
17.16.1,17,17.16,3,484.1303030303031,0.06305268480795642,8.403587622039566
17.18.2,17,17.18,2,0,0.005968308368058972,8.403587622039566
17.18.3,17,17.18,4,573.9919234147494,0.04418689395827625,8.403587622039566
17.19.1,17,17.19,2,0,0.005968308368058965,8.403587622039566
17.19.2,17,17.19,1,0,2.2927036768043937e-17,8.403587622039566
17.2.1,17,17.2,14,882.7439354970691,1,8.403587622039566
17.3.2,17,17.3,4,93.37500234450894,0.0012618709634452864,8.403587622039566
17.4.1,17,17.4,2,295.7719959778783,0.004494911893874907,8.403587622039566
17.5.1,17,17.5,10,1300.9202465313913,0.3534467844393597,8.403587622039566
17.8.1,17,17.8,1,0,1.6936895973529523e-17,8.403587622039566
17.9.1,17,17.9,9,26.97533962398184,0.871012497154562,8.403587622039566
2.2.1,2,2.2,3,201.48333333333326,4.564603207956208e-6,8.403587622039566
2.2.2,2,2.2,2,0,6.950145656769047e-7,8.403587622039566
2.2.3,2,2.2,2,0,6.486692776352585e-6,8.403587622039566
2.3.1,2,2.3,2,0,4.1377301830850227e-4,8.403587622039566
2.3.2,2,2.3,2,0,4.1377301830850514e-4,8.403587622039566
2.4.1,2,2.4,7,401.25619748608875,0.003063404796682494,8.403587622039566
2.5.1,2,2.5,1,0,1.8385184002842067e-17,8.403587622039566
2.5.2,2,2.5,3,0,1.7410560999312077e-16,8.403587622039566
2.a.1,2,2.a,6,1133.136473772678,0.015648552254969392,8.403587622039566
2.a.2,2,2.a,9,26.97533962398184,0.871012497154562,8.403587622039566
2.b.1,2,2.b,2,290.6022477861794,0.004738119489261029,8.403587622039566
2.c.1,2,2.c,1,0,1.446518379062314e-17,8.403587622039566
3.1.1,3,3.1,3,4.666666666666667,1.7554361642125128e-6,8.403587622039566
3.2.1,3,3.2,4,185.81666666666635,5.625024806482861e-6,8.403587622039566
3.2.2,3,3.2,2,0,8.78251206855102e-7,8.403587622039566
3.3.1,3,3.3,1,0,1.7694318004924372e-17,8.403587622039566
3.3.2,3,3.3,2,1,5.0062692075316333e-17,8.403587622039566
3.3.3,3,3.3,1,0,1.9403760499977665e-17,8.403587622039566
3.4.1,3,3.4,1,0,2.0724191619868034e-17,8.403587622039566
3.4.2,3,3.4,1,0,1.8081606983792007e-17,8.403587622039566
3.6.1,3,3.6,2,3,4.562813955770956e-17,8.403587622039566
3.7.2,3,3.7,7,380.88333333333253,8.248685607155038e-6,8.403587622039566
3.8.1,3,3.8,1,0,1.2165365231040426e-4,8.403587622039566
3.8.2,3,3.8,3,0,0.004872804183862155,8.403587622039566
3.9.1,3,3.9,1,0,2.6827249554998025e-17,8.403587622039566
3.9.2,3,3.9,1,0,0.011096172805137349,8.403587622039566
3.9.3,3,3.9,1,0,2.13002454963796e-17,8.403587622039566
3.b.2,3,3.b,7,2.673611111111111,0.7127475063471665,8.403587622039566
4.1.1,4,4.1,3,137.81582730670627,1.5764610404368182e-4,8.403587622039566
4.1.2,4,4.1,4,219.08622977681128,4.5332217183431896e-5,8.403587622039566
4.2.1,4,4.2,1,0,2.0086143160118234e-5,8.403587622039566
4.2.2,4,4.2,6,1151.0497907870858,1.6879566403477407e-4,8.403587622039566
4.3.1,4,4.3,3,103.26014168293585,4.837170530416729e-5,8.403587622039566
4.6.1,4,4.6,4,1470.1137529299178,3.621845300252413e-5,8.403587622039566
4.7.1,4,4.7,4,455.87702388298436,0.003002376201358603,8.403587622039566
4.a.1,4,4.a,2,0,4.9426485006786953e-17,8.403587622039566
4.b.1,4,4.b,6,0,0.6184022501694512,8.403587622039566
4.c.1,4,4.c,5,1347.0864287918096,0.001110664967385659,8.403587622039566
5.2.1,5,5.2,3,0,3.0016766401691e-6,8.403587622039566
5.2.2,5,5.2,4,2,3.7387993423709344e-6,8.403587622039566
5.3.1,5,5.3,10,1459.0013457034222,3.6388015858703414e-5,8.403587622039566
5.3.2,5,5.3,1,0,9.815671565901803e-7,8.403587622039566
5.4.1,5,5.4,2,0,4.7849476053437555e-17,8.403587622039566
5.5.2,5,5.5,1,0,9.815671565849573e-7,8.403587622039566
5.6.1,5,5.6,3,13.336792340635766,6.9315979181629794e-6,8.403587622039566
5.6.2,5,5.6,1,0,9.356812175513567e-4,8.403587622039566
5.a.1,5,5.a,5,662.0198890978305,0.004454104156649631,8.403587622039566
5.a.2,5,5.a,4,4.24702380952381,0.0027718318922202024,8.403587622039566
5.b.1,5,5.b,2,1,5.3599715465479025e-17,8.403587622039566
5.c.1,5,5.c,2,0,4.764552971420289e-17,8.403587622039566
6.1.1,6,6.1,4,643.5086806983866,0.0018378169024792666,8.403587622039566
