indicator,related_indicator,similarity_score
1.1.1,1.2.1,0.4866745681921434
1.2.2,1.b.1,0.21223370343639336
1.3.1,17.1.1,0.23619229631558664
1.4.1,6.2.1,0.3757730688893675
1.4.1,11.6.1,0.36353852110254486
1.4.1,7.1.1,0.355650835729212
1.4.1,11.2.1,0.32049718458073245
1.4.1,6.1.1,0.3161228153679508
1.4.1,16.6.2,0.25592601331181075
1.4.1,9.1.1,0.24240561177342906
1.4.1,3.8.1,0.2110990864524279
1.4.2,5.a.2,0.4008717496044284
1.4.2,5.a.1,0.3982955541556736
1.4.2,11.3.1,0.2825347815391461
1.4.2,15.3.1,0.27180102322803185
1.4.2,10.3.1,0.24046978939646108
1.4.2,16.b.1,0.24046978939646108
1.4.2,2.4.1,0.21269119306106074
1.4.2,14.b.1,0.2033638901238281
1.5.1,11.5.1,0.9999999999999999
1.5.1,13.1.1,0.9999999999999999
1.5.1,1.5.2,0.25931406401192353
1.5.1,9.5.2,0.20427359596794323
1.5.2,11.5.2,0.34919383609907395
1.5.2,12.3.1,0.26863334640196473
1.5.2,11.5.1,0.25931406401192353
1.5.2,13.1.1,0.25931406401192353
1.5.2,11.b.2,0.2128745930901053
1.5.2,13.1.3,0.2128745930901053
1.5.3,13.1.2,1.0
1.5.3,11.b.1,0.9665430018203174
1.5.3,11.5.2,0.6850021529032024
1.5.3,13.1.3,0.5937448344533433
1.5.3,11.b.2,0.5937448344533433
1.5.3,1.5.4,0.3711469870001984
1.5.4,13.1.3,0.940707639388994
1.5.4,11.b.2,0.940707639388994
1.5.4,13.1.2,0.3711469870001984
1.5.4,11.b.1,0.3587295229317381
1.5.4,11.5.2,0.27653998382981265
1.5.4,2.5.2,0.21361252459278238
1.a.1,8.a.1,0.398648194410392
1.a.1,17.2.1,0.37715083532368926
1.a.1,10.b.1,0.35330533243961876
1.a.1,3.b.2,0.27751064584161894
1.a.1,2.a.2,0.2594484439758801
1.a.1,6.a.1,0.2562774629688104
1.a.1,17.12.1,0.2520135190278219
1.a.1,9.a.1,0.24306794570038065
1.a.1,17.9.1,0.24074447449794717
1.a.1,17.5.1,0.2397569378022777
1.a.1,7.a.1,0.2241480471902182
1.a.2,3.8.2,0.33562292293958307
1.a.2,17.1.2,0.318262610858828
1.a.2,2.a.1,0.3020888832005422
1.a.2,9.5.1,0.3001029950452277
1.a.2,1.b.1,0.2735148924594072
1.a.2,16.6.1,0.26982332621060906
1.a.2,11.4.1,0.23833682233009398
1.a.2,13.3.1,0.22460165640943794
1.a.2,12.8.1,0.22460165640943794
1.a.2,4.7.1,0.2152545147600372
1.a.2,12.c.1,0.20499661046265202
2.2.1,2.2.2,0.8078528472296815
2.2.1,8.7.1,0.23907421128406228
2.2.1,5.3.1,0.23590348888198642
2.2.2,8.7.1,0.24058693895988714
2.2.3,5.3.1,0.24849724003492202
2.2.3,16.2.3,0.21874915732196992
2.3.1,2.3.2,0.9086304958681984
2.3.1,2.4.1,0.20651167934988773
2.3.2,2.4.1,0.28030234414540733
2.4.1,5.a.1,0.27830308742987864
2.4.1,15.1.1,0.27660441994515783
2.4.1,15.3.1,0.26790480816592793
2.4.1,11.3.1,0.248691235267253
2.5.1,15.6.1,0.5034955659084868
2.5.2,13.1.3,0.20094174369009352
2.5.2,11.b.2,0.20094174369009352
