indicator,related_indicator,similarity_score,level
17.2.1,8.a.1,0.39699842,indi
17.2.1,1.a.1,0.377150835,indi
17.2.1,6.a.1,0.330725473,indi
17.2.1,17.12.1,0.298103212,indi
17.2.1,2.a.2,0.281884191,indi
17.2.1,17.9.1,0.272766305,indi
17.2.1,10.b.1,0.270509225,indi
17.2.1,9.a.1,0.264087193,indi
17.2.1,4.b.1,0.263448718,indi
17.2.1,10.a.1,0.244776363,indi
17.2.1,17.5.1,0.235078833,indi
17.2.1,17.15.1,0.229738145,indi
17.2.1,3.b.2,0.21324098,indi
17.2.1,16.8.1,0.20894338,indi
8.a.1,Goal 8,0.21324098,goal
1.a.1,Goal 1,0.21324098,goal
6.a.1,Goal 6,0.21324098,goal
17.12.1,Goal 17,0.21324098,goal
2.a.2,Goal 2,0.21324098,goal
17.9.1,Goal 17,0.21324098,goal
10.b.1,Goal 10,0.21324098,goal
9.a.1,Goal 9,0.21324098,goal
4.b.1,Goal 4,0.21324098,goal
10.a.1,Goal 10,0.21324098,goal
17.5.1,Goal 17,0.21324098,goal
17.15.1,Goal 17,0.21324098,goal
3.b.2,Goal 3,0.21324098,goal
16.8.1,Goal 16,0.21324098,goal
