indicator,related_indicator,similarity_score
17.2.1,8.a.1,0.3969984197682277
17.2.1,1.a.1,0.37715083532368926
17.2.1,6.a.1,0.33072547280253983
17.2.1,17.12.1,0.29810321226042547
17.2.1,2.a.2,0.2818841909222246
17.2.1,17.9.1,0.27276630452824635
17.2.1,10.b.1,0.27050922484457673
17.2.1,9.a.1,0.2640871926726559
17.2.1,4.b.1,0.2634487181038193
17.2.1,10.a.1,0.24477636281031195
17.2.1,17.5.1,0.23507883277628744
17.2.1,17.15.1,0.2297381449308943
17.2.1,3.b.2,0.21324098045382958
17.2.1,16.8.1,0.20894337973458132
