Most Central Indicators ,,
,,
,,
Rank,Indicator with Key Words,Number of OtherSimilar Indicator Based on Text
1,"17.2.1 - Development Assistance, Developed Countries, Economic , National Income ",14
2,"1.a.1 - Development Assistance, Poverty Reduction, National Income",11
3,"1.a.2 - Government Spending, Services, Education, Health, Social Protection",11
4,"5.3.1 - Women, Marry, Age",10
5,"16.2.3 - Young Women,  Sexual Violence, Age",10
6,"17.5.1 - Investment Promotion Regimes,  Developing Countries",10
7,"6.a.1 - Water, Sanitation, Development Assistance",9
8,"2.a.2 -Development Assistance, Agriculture",9
9,"9.a.1 - Official Development Assistance, Infrastructure ",9
10,"8.a.1 - Aid, Trade, Commitments, Disbursements",9
11,"17.9.1 - Financial, Technical Assistance, Developing Countries",9
12,"11.b.2 - Governments, Disaster Reduction Strategy",8
13,"9.5.1 - Research, Development, Expenditure, GDP",8
14,"10.b.1 -Official, Resource, Development",8
15,"13.1.3 - Governments, Disaster Reduction Strategy",8
16,"1.4.1 -Households, Basic Services",8
17,"1.4.2- Adult, Rights, Land",8
"High Frequency Words:  Development,  Assistance",,
,,
,1.5.2,7
,15.1.2,7
,15.1.1,7
,15.4.1,7
,8.2.1,7
,1.5.4,7
,3.b.2,7
,15.3.1,7
,3.7.2,7
,2.4.1,7
,11.5.2,7
,10.3.1,6
,16.1.3,6
,8.1.1,6
,2.a.1,6
,17.12.1,6
,14.7.1,6
,13.1.2,6
,9.2.2,6
,4.2.2,6
,11.b.1,6
,16.b.1,6
,1.5.3,6
,16.8.1,6
,11.3.1,6
,4.b.1,6
,5.a.1,5
,8.6.1,5
,14.5.1,5
,6.6.1,5
,4.c.1,5
,15.9.1,5
,15.a.1,5
,15.b.1,5
,7.a.1,5
,7.2.1,5
,6.b.1,4
,16.6.2,4
,16.10.1,4
,16.6.1,4
,7.1.1,4
,16.a.1,4
,7.b.1,4
,17.3.2,4
,8.3.1,4
,17.18.3,4
,14.c.1,4
,10.a.1,4
,9.3.1,4
,11.5.1,4
,4.6.1,4
,4.1.2,4
,5.2.2,4
,9.2.1,4
,6.1.1,4
,12.8.1,4
,10.6.1,4
,12.a.1,4
,5.a.2,4
,13.1.1,4
,10.1.1,4
,1.5.1,4
,6.3.2,4
,13.2.2,4
,13.3.1,4
,9.b.1,4
,3.2.1,4
,4.7.1,4
,5.2.1,3
,4.1.1,3
,4.3.1,3
,3.1.1,3
,2.2.1,3
,3.8.2,3
,17.16.1,3
,2.5.2,3
,6.4.2,3
,7.3.1,3
,16.2.1,3
,17.15.1,3
,16.1.1,3
,9.5.2,3
,9.4.1,3
,11.a.1,3
,12.1.1,3
,12.2.1,3
,12.2.2,3
,8.b.1,3
,14.b.1,3
,8.7.1,3
,8.4.2,3
,5.6.1,3
,17.1.2,3
,8.4.1,3
,17.11.1,3
,16.9.1,3
,2.2.3,2
,4.a.1,2
,9.1.1,2
,17.4.1,2
,5.b.1,2
,17.10.1,2
,11.6.1,2
,11.3.2,2
,9.3.2,2
,17.1.1,2
,17.19.1,2
,10.7.4,2
,17.14.1,2
,10.4.1,2
,10.2.1,2
,5.4.1,2
,1.b.1,2
,5.c.1,2
,12.c.1,2
,6.2.1,2
,3.3.2,2
,2.3.2,2
,16.1.2,2
,2.2.2,2
,2.b.1,2
,2.3.1,2
,3.2.2,2
,17.18.2,2
,13.b.1,2
,3.6.1,2
,8.9.1,2
,13.2.1,2
,6.5.2,2
,8.8.2,1
,8.8.1,1
,5.6.2,1
,6.4.1,1
,8.5.2,1
,8.5.1,1
,1.1.1,1
,5.5.2,1
,12.4.1,1
,15.6.1,1
,15.4.2,1
,15.2.1,1
,14.6.1,1
,14.4.1,1
,13.a.1,1
,12.b.1,1
,12.4.2,1
,12.3.1,1
,15.c.1,1
,11.7.2,1
,11.4.1,1
,11.2.1,1
,11.1.1,1
,10.c.1,1
,10.7.1,1
,1.3.1,1
,1.2.2,1
,15.7.1,1
,16.10.2,1
,5.3.2,1
,3.3.1,1
,4.2.1,1
,3.9.3,1
,3.9.2,1
,3.9.1,1
,3.8.1,1
,3.4.2,1
,3.4.1,1
,3.3.3,1
,2.c.1,1
,16.3.1,1
,2.5.1,1
,17.8.1,1
,17.19.2,1
,1.2.1,1
,16.7.2,1
,16.5.2,1
,16.4.1,1
,16.3.3,1
,9.c.1,1
