,indicator,num_of_relatedindic
0,17.2.1,14
1,1.a.1,11
2,1.a.2,11
3,5.3.1,10
4,16.2.3,10
5,17.5.1,10
6,6.a.1,9
7,2.a.2,9
8,9.a.1,9
9,8.a.1,9
10,17.9.1,9
11,11.b.2,8
12,9.5.1,8
13,10.b.1,8
14,13.1.3,8
15,1.4.1,8
16,1.4.2,8
17,1.5.2,7
18,15.1.2,7
19,15.1.1,7
20,15.4.1,7
21,8.2.1,7
22,1.5.4,7
23,3.b.2,7
24,15.3.1,7
25,3.7.2,7
26,2.4.1,7
27,11.5.2,7
28,10.3.1,6
29,16.1.3,6
30,8.1.1,6
31,2.a.1,6
32,17.12.1,6
33,14.7.1,6
34,13.1.2,6
35,9.2.2,6
36,4.2.2,6
37,11.b.1,6
38,16.b.1,6
39,1.5.3,6
40,16.8.1,6
41,11.3.1,6
42,4.b.1,6
43,5.a.1,5
44,8.6.1,5
45,14.5.1,5
46,6.6.1,5
47,4.c.1,5
48,15.9.1,5
49,15.a.1,5
50,15.b.1,5
51,7.a.1,5
52,7.2.1,5
53,6.b.1,4
54,16.6.2,4
55,16.10.1,4
56,16.6.1,4
57,7.1.1,4
58,16.a.1,4
59,7.b.1,4
60,17.3.2,4
61,8.3.1,4
62,17.18.3,4
63,14.c.1,4
64,10.a.1,4
65,9.3.1,4
66,11.5.1,4
67,4.6.1,4
68,4.1.2,4
69,5.2.2,4
70,9.2.1,4
71,6.1.1,4
72,12.8.1,4
73,10.6.1,4
74,12.a.1,4
75,5.a.2,4
76,13.1.1,4
77,10.1.1,4
78,1.5.1,4
79,6.3.2,4
80,13.2.2,4
81,13.3.1,4
82,9.b.1,4
83,3.2.1,4
84,4.7.1,4
85,5.2.1,3
86,4.1.1,3
87,4.3.1,3
88,3.1.1,3
89,2.2.1,3
90,3.8.2,3
91,17.16.1,3
92,2.5.2,3
93,6.4.2,3
94,7.3.1,3
95,16.2.1,3
96,17.15.1,3
97,16.1.1,3
98,9.5.2,3
99,9.4.1,3
100,11.a.1,3
101,12.1.1,3
102,12.2.1,3
103,12.2.2,3
104,8.b.1,3
105,14.b.1,3
106,8.7.1,3
107,8.4.2,3
108,5.6.1,3
109,17.1.2,3
110,8.4.1,3
111,17.11.1,3
112,16.9.1,3
113,2.2.3,2
114,4.a.1,2
115,9.1.1,2
116,17.4.1,2
117,5.b.1,2
118,17.10.1,2
119,11.6.1,2
120,11.3.2,2
121,9.3.2,2
122,17.1.1,2
123,17.19.1,2
124,10.7.4,2
125,17.14.1,2
126,10.4.1,2
127,10.2.1,2
128,5.4.1,2
129,1.b.1,2
130,5.c.1,2
131,12.c.1,2
132,6.2.1,2
133,3.3.2,2
134,2.3.2,2
135,16.1.2,2
136,2.2.2,2
137,2.b.1,2
138,2.3.1,2
139,3.2.2,2
140,17.18.2,2
141,13.b.1,2
142,3.6.1,2
143,8.9.1,2
144,13.2.1,2
145,6.5.2,2
146,8.8.2,1
147,8.8.1,1
148,5.6.2,1
149,6.4.1,1
150,8.5.2,1
151,8.5.1,1
152,1.1.1,1
153,5.5.2,1
154,12.4.1,1
155,15.6.1,1
156,15.4.2,1
157,15.2.1,1
158,14.6.1,1
159,14.4.1,1
160,13.a.1,1
161,12.b.1,1
162,12.4.2,1
163,12.3.1,1
164,15.c.1,1
165,11.7.2,1
166,11.4.1,1
167,11.2.1,1
168,11.1.1,1
169,10.c.1,1
170,10.7.1,1
171,1.3.1,1
172,1.2.2,1
173,15.7.1,1
174,16.10.2,1
175,5.3.2,1
176,3.3.1,1
177,4.2.1,1
178,3.9.3,1
179,3.9.2,1
180,3.9.1,1
181,3.8.1,1
182,3.4.2,1
183,3.4.1,1
184,3.3.3,1
185,2.c.1,1
186,16.3.1,1
187,2.5.1,1
188,17.8.1,1
189,17.19.2,1
190,1.2.1,1
191,16.7.2,1
192,16.5.2,1
193,16.4.1,1
194,16.3.3,1
195,9.c.1,1
