node,goal,common, size
17.2.1,17,"Development Assistance, developed countries,Economic",1
8.a.1,8,"aid, developing countries",1
1.a.1,1,"assistance, poverty reduction",1
6.a.1,6,"water,sanitation,development assistance ",1
17.12.1,17,"tariffs faced by developing countries,",1
2.a.2,2,"assistance, agriculture",1
17.9.1,17,"financial and technical assistance,developing countries",1
10.b.1,10,Total resource flows for development,1
9.a.1,9,assistance to infrastructure,1
4.b.1,4,development assistance to scholarships,1
10.a.1,10," tariff, developing countries",1
17.5.1,17,investment promotion regimes for developing countries,1
17.15.1,17,development cooperation,1
3.b.2,3, voting rights of developing countries,1
16.8.1,16,development assistance to medical research ,1
Goal 8,8,,5
Goal 1,1,,5
Goal 6,6,,5
Goal 17,17,,5
Goal 2,2,,5
Goal 9,9,,5
Goal 4,4,,5
Goal 10,10,,5
Goal 3,3,,5
Goal 16,16,,5
