,UniqueID,Goal,Target,Indicator,SeriesCode,SeriesDescription,Source,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,
0,                         ,,,,,,,,,,,,,,,,,
1,AG_FOOD_WST           HHS   A           ,12.0,12.3,12.3.1,AG_FOOD_WST,Food waste (Tonnes),Food Waste Index Report 2021 / WESR,,,,,,,,1273466.06904,,,
2,AG_FOOD_WST           OOHC   A           ,12.0,12.3,12.3.1,AG_FOOD_WST,Food waste (Tonnes),Food Waste Index Report 2021 / WESR,,,,,,,,486094.62299,,,
3,AG_FOOD_WST           RTL   A           ,12.0,12.3,12.3.1,AG_FOOD_WST,Food waste (Tonnes),Food Waste Index Report 2021 / WESR,,,,,,,,274978.67904,,,
4,AG_FOOD_WST_PC           HHS   A           ,12.0,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),Food Waste Index Report 2021 / WESR,,,,,,,,72.43216,,,
5,AG_FOOD_WST_PC           OOHC   A           ,12.0,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),Food Waste Index Report 2021 / WESR,,,,,,,,27.64808,,,
6,AG_FOOD_WST_PC           RTL   A           ,12.0,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),Food Waste Index Report 2021 / WESR,,,,,,,,15.64023,,,
7,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,Consumer Food Price Index,,,,,,,,,,,,
8,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,Consumer Food Price Index,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.1,0.6,0.7,1.7,0.6,0.3,-0.2,-0.2,,,
9,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,,,,-0.2,-0.3,-0.7,0.8,0.1,-0.02,,
10,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",,,,,,,,,,,,
11,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,,,,-0.7,-0.6,0.4,0.7,0.0,0.2,,
