"Indicator","mean_others","top","diff","cut_winner"
"2.2.2",0.333333333333333,1,0.666666666666667,1
"2.a.1",0.141831843275964,0.71544584608097,0.573614002805006,1
"3.b.1",0.0944968970398324,0.45534180126148,0.360844904221648,1
"12.b.1",0.207535521700915,0.482955466732044,0.275419945031129,1
"1.5.2",0.182305538701183,0.444963810382765,0.262658271681582,1
"15.1.1",0.249999999997768,0.499999999995535,0.249999999997768,1
"1.5.4",0.24999999893647,0.49999999787294,0.24999999893647,1
"11.b.2",0.24999999893647,0.49999999787294,0.24999999893647,1
"13.1.3",0.24999999893647,0.49999999787294,0.24999999893647,1
"17.13.1",0.0713173450196642,0.194304366683055,0.122987021663391,1
"10.5.1",0.056070181415843,0.134646338465906,0.0785761570500629,0
"2.1.2",0.962611105233922,0.981819724235,0.0192086190010778,0
"1.5.1",0.982941692050781,1,0.0170583079492189,0
"11.5.1",0.982941692050781,1,0.0170583079492189,0
"13.1.1",0.982941692050781,1,0.0170583079492189,0
"12.c.1",0.990181845694025,0.995087830536525,0.00490598484250004,0
"3.2.1",0.999840076288797,0.999909759030263,6.96827414666812e-05,0
"1.4.1",0.991896820788368,0.991896820788368,0,0
"14.1.1",0.20759292733399,0.20759292733399,0,0
"17.1.1",0.763923817647442,0.763923817647442,0,0
"17.17.1",0.999627939657149,0.999627939657149,0,0
"2.1.1",0.996133908305569,0.996133908305569,0,0
"2.2.1",1,1,0,0
"2.3.1",0,0,0,0
"2.3.2",0,0,0,0
"2.5.1",0,0,0,0
"3.2.2",0.999763360763267,0.999763360763267,0,0
"3.4.1",1,1,0,0
"3.4.2",0,0,0,0
"3.8.2",0.722383884637046,0.722383884637046,0,0
"3.d.2",1,1,0,0
"4.5.1",0.99137121626773,0.99137121626773,0,0
"6.2.1",0.990351633861044,0.990351633861044,0,0
"9.4.1",0.0694075400247048,0.0694075400247048,0,0
