Indicator,Goal,Target,degree,strength
1.3.1,1,1.3,83,7.553790515000001
1.4.1,1,1.4,83,6.665987446000001
1.5.1,1,1.5,83,9.463712914000002
1.5.2,1,1.5,83,10.122260524999996
1.5.3,1,1.5,83,3.316473683999999
1.5.4,1,1.5,83,7.793426754
1.a.2,1,1.a,83,-2.2536270750000007
10.4.1,10,10.4,83,-1.1409324090000004
10.5.1,10,10.5,83,1.9141217789999996
10.7.3,10,10.7,83,2.2228710290000007
10.c.1,10,10.c,83,4.259927605
11.1.1,11,11.1,83,-4.298403895000001
11.5.1,11,11.5,83,9.463712914000002
11.5.2,11,11.5,83,10.001181481000001
11.6.2,11,11.6,83,-4.208840357000001
11.b.1,11,11.b,83,3.316473683999999
11.b.2,11,11.b,83,7.793426754
12.4.2,12,12.4,83,2.6096824799999983
12.a.1,12,12.a,83,6.174057621999999
12.c.1,12,12.c,83,6.568166651
13.1.1,13,13.1,83,9.463712914000002
13.1.2,13,13.1,83,3.3164736839999986
13.1.3,13,13.1,83,7.793426753999999
14.1.1,14,14.1,83,-2.2159278949999996
14.7.1,14,14.7,83,-4.427485302999999
14.b.1,14,14.b,83,6.586628368
15.1.1,15,15.1,83,-4.586628056000001
15.2.1,15,15.2,83,6.3900083809999995
15.5.1,15,15.5,83,-4.477672178
15.6.1,15,15.6,83,7.976212673000003
16.2.2,16,16.2,83,-3.0843756579999995
16.3.2,16,16.3,83,6.5866283679999995
16.6.1,16,16.6,83,8.051655427000002
17.1.1,17,17.1,83,-4.9533751299999995
17.13.1,17,17.13,83,8.213477993
17.17.1,17,17.17,83,9.269714946999997
17.3.1,17,17.3,83,-6.597189849000004
17.3.2,17,17.3,83,8.793193581999999
17.4.1,17,17.4,83,0.8563257959999997
17.8.1,17,17.8,83,6.872255193999999
17.9.1,17,17.9,83,4.3707893019999995
2.1.1,2,2.1,83,6.604633664000001
2.1.2,2,2.1,83,-4.422324509999998
2.2.1,2,2.2,83,9.801693138000003
2.2.2,2,2.2,83,8.779763854
2.a.1,2,2.a,83,-4.031477989000001
2.c.1,2,2.c,83,-5.801223806
3.2.1,3,3.2,83,-4.255764436
3.2.2,3,3.2,83,6.672825308
3.3.1,3,3.3,83,-3.2319723970000007
3.3.2,3,3.3,83,2.4873952469999994
3.3.3,3,3.3,83,8.056820355000001
3.3.5,3,3.3,83,8.032163580999999
3.4.1,3,3.4,83,7.831273967999999
3.4.2,3,3.4,83,6.586628367999999
3.6.1,3,3.6,83,-4.5866283679999995
3.8.1,3,3.8,83,6.586628368
3.9.3,3,3.9,83,-4.5866283679999995
3.b.1,3,3.b,83,-3.2419627120000007
4.2.2,4,4.2,83,6.800131134999998
4.3.1,4,4.3,83,-4.671942787999999
4.5.1,4,4.5,83,0.44020571500000033
6.1.1,6,6.1,83,-3.4633123129999994
6.2.1,6,6.2,83,-2.6960785579999995
6.4.1,6,6.4,83,-4.401815996
6.4.2,6,6.4,83,6.062655402999998
6.5.1,6,6.5,83,6.586628368
6.6.1,6,6.6,83,-3.5061349150000005
7.1.1,7,7.1,83,-5.753536775
7.1.2,7,7.1,83,6.729802916000001
7.2.1,7,7.2,83,-2.411145525
7.3.1,7,7.3,83,5.916082529
7.a.1,7,7.a,83,0.45423013400000045
7.b.1,7,7.b,83,6.174057621999999
8.1.1,8,8.1,83,-1.6624179100000014
8.2.1,8,8.2,83,-0.3804572040000015
8.3.1,8,8.3,83,3.6373726689999986
8.8.2,8,8.8,83,6.563649615000001
9.1.2,9,9.1,83,-3.8161068950000008
9.4.1,9,9.4,83,-3.7318430040000017
9.5.1,9,9.5,83,-1.0362793750000003
9.5.2,9,9.5,83,-4.355076001999998
