Indicator,Goal,Target,degree,strength
1.3.1,1,1.3,64,5.031966666914633
1.4.1,1,1.4,63,3.8420497779621137
1.5.1,1,1.5,13,10.831176436382249
1.5.2,1,1.5,9,7.6097802560988015
1.5.3,1,1.5,50,0.7649470044604093
1.5.4,1,1.5,63,5.530458552649768
1.a.2,1,1.a,55,0.24456392797574233
10.4.1,10,10.4,51,1.8472697424777849
10.5.1,10,10.5,14,-0.692507631670869
10.7.3,10,10.7,1,0.734032643375822
10.c.1,10,10.c,29,2.1599031547737066
11.1.1,11,11.1,63,-4.359234595570384
11.5.1,11,11.5,13,10.831176436382249
11.5.2,11,11.5,38,16.810767931454745
11.6.2,11,11.6,62,-4.877032999889758
11.b.1,11,11.b,50,0.7649470044604093
11.b.2,11,11.b,63,5.530458552649768
12.a.1,12,12.a,62,1.7072682198529991
12.c.1,12,12.c,63,2.6777692763540504
13.1.1,13,13.1,13,10.831176436382249
13.1.2,13,13.1,50,0.7649470044604093
13.1.3,13,13.1,63,5.530458552649768
14.1.1,14,14.1,59,-2.7104159157283236
14.7.1,14,14.7,64,-6.320684754834411
14.b.1,14,14.b,64,4.549364974384847
15.1.1,15,15.1,64,-6.549368812186791
15.2.1,15,15.2,63,3.282532618265347
15.5.1,15,15.5,63,-5.821251349026007
15.6.1,15,15.6,61,3.4560573089231315
16.2.2,16,16.2,62,-3.082922875661198
16.3.2,16,16.3,64,4.549364974384816
16.6.1,16,16.6,8,6.59475421997105
17.1.1,17,17.1,54,-3.1289129873591532
17.13.1,17,17.13,65,6.560527576512982
17.17.1,17,17.17,62,8.74475872547126
17.3.1,17,17.3,60,-7.354209497721438
17.3.2,17,17.3,67,7.710810979733076
17.4.1,17,17.4,2,0.008057865285731047
17.8.1,17,17.8,63,4.133869011200208
2.1.1,2,2.1,63,2.744877510238464
2.1.2,2,2.1,63,-5.666328169691689
2.2.1,2,2.2,38,15.098908977153497
2.2.2,2,2.2,67,8.014545675602857
2.a.1,2,2.a,62,-4.382424218996982
2.c.1,2,2.c,2,-1.468422248578534
3.2.1,3,3.2,63,-4.320225226785108
3.2.2,3,3.2,63,3.9556680767875663
3.3.1,3,3.3,62,-4.314690307351686
3.3.2,3,3.3,5,3.724105135774964
3.3.3,3,3.3,60,7.073764776741431
3.3.5,3,3.3,56,7.134771789707069
3.4.1,3,3.4,63,4.601957532927687
3.4.2,3,3.4,64,4.549364974384838
3.6.1,3,3.6,64,-6.549364974384715
3.8.1,3,3.8,64,4.549364974384905
3.9.3,3,3.9,64,-6.5493649743848
3.b.1,3,3.b,63,-2.3595682659548256
4.2.2,4,4.2,61,2.455737497915435
4.3.1,4,4.3,62,-5.220430174735815
4.5.1,4,4.5,3,-0.831282990652276
6.1.1,6,6.1,63,-4.115476260020553
6.2.1,6,6.2,62,-2.4373493323776527
6.4.1,6,6.4,63,-5.720220902255925
6.4.2,6,6.4,61,3.1826225289697136
6.5.1,6,6.5,64,4.549364974384889
6.6.1,6,6.6,62,-3.374839243580593
7.1.1,7,7.1,61,-6.51801803210435
7.1.2,7,7.1,63,3.998578311771804
7.2.1,7,7.2,56,-0.6812330401351508
7.3.1,7,7.3,55,0.7734678973932452
7.a.1,7,7.a,3,0.7375417960451159
7.b.1,7,7.b,62,1.7072682198529991
8.2.1,8,8.2,3,-0.9708980687437639
8.3.1,8,8.3,3,2.322869548372744
8.8.2,8,8.8,64,4.719664386820787
9.1.2,9,9.1,62,-3.1567425212540896
9.4.1,9,9.4,62,-4.229091040898798
9.5.1,9,9.5,56,-0.2459916815767278
9.5.2,9,9.5,50,-3.8604580305093026
