Indicator,Goal,Target,degree
1.1.1,1,1.1,64
1.2.1,1,1.2,64
1.3.1,1,1.3,64
1.4.1,1,1.4,64
1.5.1,1,1.5,5
1.5.2,1,1.5,3
1.5.3,1,1.5,16
1.5.4,1,1.5,6
1.a.2,1,1.a,64
10.4.1,10,10.4,64
10.5.1,10,10.5,63
10.7.3,10,10.7,1
10.c.1,10,10.c,68
11.1.1,11,11.1,64
11.5.1,11,11.5,5
11.5.2,11,11.5,3
11.6.2,11,11.6,61
11.b.1,11,11.b,16
11.b.2,11,11.b,6
12.4.2,12,12.4,60
12.a.1,12,12.a,63
12.b.1,12,12.b,63
12.c.1,12,12.c,53
13.1.1,13,13.1,5
13.1.2,13,13.1,16
13.1.3,13,13.1,6
14.1.1,14,14.1,66
14.7.1,14,14.7,2
15.1.1,15,15.1,64
15.2.1,15,15.2,61
15.5.1,15,15.5,64
15.6.1,15,15.6,68
15.8.1,15,15.8,66
16.2.2,16,16.2,63
16.3.2,16,16.3,64
16.6.1,16,16.6,1
17.1.1,17,17.1,64
17.13.1,17,17.13,63
17.17.1,17,17.17,4
17.3.1,17,17.3,1
17.3.2,17,17.3,1
17.4.1,17,17.4,1
17.8.1,17,17.8,68
17.9.1,17,17.9,1
2.1.1,2,2.1,64
2.1.2,2,2.1,3
2.2.1,2,2.2,68
2.2.2,2,2.2,64
2.5.1,2,2.5,62
2.5.2,2,2.5,66
2.a.1,2,2.a,65
3.2.1,3,3.2,64
3.2.2,3,3.2,64
3.3.2,3,3.3,64
3.3.3,3,3.3,64
3.3.5,3,3.3,64
3.4.1,3,3.4,64
3.4.2,3,3.4,64
3.6.1,3,3.6,64
3.8.1,3,3.8,64
3.8.2,3,3.8,62
3.b.1,3,3.b,67
3.d.2,3,3.d,64
4.2.2,4,4.2,62
4.3.1,4,4.3,64
4.5.1,4,4.5,64
5.b.1,5,5.b,64
6.2.1,6,6.2,64
6.4.1,6,6.4,65
6.4.2,6,6.4,63
6.5.1,6,6.5,64
6.6.1,6,6.6,68
7.1.1,7,7.1,64
7.1.2,7,7.1,64
7.2.1,7,7.2,67
7.3.1,7,7.3,64
7.a.1,7,7.a,67
7.b.1,7,7.b,63
8.1.1,8,8.1,5
8.2.1,8,8.2,12
8.3.1,8,8.3,67
8.8.2,8,8.8,62
8.9.1,8,8.9,54
9.1.2,9,9.1,67
9.4.1,9,9.4,64
9.5.1,9,9.5,63
9.5.2,9,9.5,65
