"","1.3.1","2.2.2","17.3.2","10.4.1","8.8.2","1.5.3","11.b.1","13.1.2","2.a.1","11.5.2","13.1.3","6.2.1","11.5.1","13.1.1","10.5.1","15.1.1","3.6.1","14.b.1","3.4.2","3.8.1","10.c.1","6.5.1","3.9.3","9.5.1","2.2.1","6.4.1","15.5.1","9.5.2","14.1.1","2.c.1","7.1.1","6.1.1","17.8.1","14.7.1","7.1.2","4.5.1","1.5.1","17.17.1","11.6.2","4.3.1","17.4.1","1.a.2","11.1.1","7.3.1","6.4.2","17.1.1","3.b.1","6.6.1","1.5.4","11.b.2","16.6.1","7.2.1","9.4.1","4.2.2","3.3.5","17.13.1","15.6.1","3.4.1","7.a.1","2.1.2","17.3.1","12.c.1","8.3.1","16.2.2","9.1.2","12.a.1","2.1.1","3.2.1","7.b.1","3.2.2","3.3.3","1.4.1","3.3.1","1.5.2","16.3.2","3.3.2","15.2.1","8.2.1","10.7.3"
"1.3.1",0,0.96,0.98,-0.82,0.97,0.73,0.73,0.73,-0.92,0.73,0.93,-0.91,0,0,0,-0.99,-0.99,0.99,0.99,0.99,0.67,0.99,-0.99,-0.82,0.76,-0.99,-0.98,-0.85,-0.83,0,-0.94,-0.95,0.99,-0.99,0.99,0,0,0.78,-0.95,-0.96,0,-0.82,-0.96,0.81,0.9,-0.8,-0.94,-0.97,0.93,0.93,0,-0.83,-0.93,0.95,0.92,0.9,0.94,0.99,0,-0.98,-0.91,0.98,0,-0.94,-0.95,0.93,0.97,-0.98,0.93,0.99,0.93,0.97,-0.95,0,0.99,0,0.97,0,0
"2.2.2",0.96,0,0.97,0,0.93,0.71,0.71,0.71,-0.84,0.79,0.9,-0.83,0.67,0.67,0,-0.93,-0.93,0.93,0.93,0.93,0,0.93,-0.93,-0.72,0.74,-0.92,-0.93,-0.78,-0.77,-0.68,-0.93,-0.91,0.95,-0.92,0.94,0,0.67,0.84,-0.91,-0.94,0,-0.71,-0.92,0.84,0.85,-0.75,-0.87,-0.89,0.9,0.9,0,-0.72,-0.85,0.87,0.93,0.9,0.91,0.97,0,-0.91,-0.91,0.94,0,-0.87,-0.88,0.91,0.93,-0.92,0.91,0.94,0.97,0.91,-0.85,0.67,0.93,0,0.88,0,0
"17.3.2",0.98,0.97,0,-0.74,0.93,0.67,0.67,0.67,-0.88,0.77,0.93,-0.83,0.69,0.69,0,-0.95,-0.95,0.95,0.95,0.95,0.67,0.95,-0.95,-0.74,0.83,-0.95,-0.95,-0.82,-0.78,0,-0.94,-0.9,0.96,-0.95,0.96,0,0.69,0.81,-0.91,-0.93,0,-0.75,-0.92,0.8,0.87,-0.8,-0.87,-0.91,0.93,0.93,0,-0.78,-0.89,0.92,0.92,0.89,0.96,0.99,0,-0.95,-0.94,0.95,0,-0.89,-0.9,0.89,0.93,-0.94,0.89,0.95,0.95,0.94,-0.88,0,0.95,0,0.94,0,0
"10.4.1",-0.82,0,-0.74,0,-0.8,0,0,0,0.79,0,-0.78,0.94,0,0,0,0.84,0.84,-0.84,-0.84,-0.84,0,-0.84,0.84,0.91,0,0.85,0.83,0,0.87,0,0,0.86,-0.81,0.86,-0.85,0,0,0,0.87,0.83,0,0.86,0.8,0,-0.77,0,0.86,0.85,-0.78,-0.78,0,0.85,0.85,-0.83,0,-0.74,-0.75,-0.78,0,0.86,0,-0.82,0.76,0.85,0.86,-0.76,-0.81,0.85,-0.76,-0.83,0,-0.83,0.92,0,-0.84,0.67,-0.88,0,0
"8.8.2",0.97,0.93,0.93,-0.8,0,0.77,0.77,0.77,-0.9,0.69,0.87,-0.92,0,0,0,-0.99,-0.99,0.99,0.99,0.99,0.67,0.99,-0.99,-0.83,0.67,-0.98,-0.98,-0.86,-0.8,0,-0.93,-0.95,0.99,-0.98,0.98,0,0,0.76,-0.95,-0.95,0,-0.83,-0.96,0.78,0.92,-0.8,-0.97,-0.97,0.87,0.87,0,-0.82,-0.91,0.93,0.93,0.89,0.9,0.97,0,-0.97,-0.84,0.98,0,-0.93,-0.92,0.94,0.98,-0.99,0.94,0.99,0.9,0.97,-0.95,0,0.99,0,0.91,0,0
"1.5.3",0.73,0.71,0.67,0,0.77,0,1,1,-0.71,0,0,-0.67,0,0,-0.91,-0.76,-0.76,0.76,0.76,0.76,0,0.76,-0.76,0,0,-0.75,-0.75,-0.68,-0.68,0,-0.77,-0.73,0.78,-0.75,0.77,0,0,0,-0.73,-0.76,0,0,-0.74,0,0.7,0,-0.74,-0.81,0,0,0,0,-0.68,0.76,0.8,0,0,0.75,0,-0.71,-0.75,0.78,0,-0.78,-0.73,0.8,0.81,-0.76,0.8,0.77,0.75,0.7,-0.72,0,0.76,0,0.68,0,0
"11.b.1",0.73,0.71,0.67,0,0.77,1,0,1,-0.71,0,0,-0.67,0,0,-0.91,-0.76,-0.76,0.76,0.76,0.76,0,0.76,-0.76,0,0,-0.75,-0.75,-0.68,-0.68,0,-0.77,-0.73,0.78,-0.75,0.77,0,0,0,-0.73,-0.76,0,0,-0.74,0,0.7,0,-0.74,-0.81,0,0,0,0,-0.68,0.76,0.8,0,0,0.75,0,-0.71,-0.75,0.78,0,-0.78,-0.73,0.8,0.81,-0.76,0.8,0.77,0.75,0.7,-0.72,0,0.76,0,0.68,0,0
"13.1.2",0.73,0.71,0.67,0,0.77,1,1,0,-0.71,0,0,-0.67,0,0,-0.91,-0.76,-0.76,0.76,0.76,0.76,0,0.76,-0.76,0,0,-0.75,-0.75,-0.68,-0.68,0,-0.77,-0.73,0.78,-0.75,0.77,0,0,0,-0.73,-0.76,0,0,-0.74,0,0.7,0,-0.74,-0.81,0,0,0,0,-0.68,0.76,0.8,0,0,0.75,0,-0.71,-0.75,0.78,0,-0.78,-0.73,0.8,0.81,-0.76,0.8,0.77,0.75,0.7,-0.72,0,0.76,0,0.68,0,0
"2.a.1",-0.92,-0.84,-0.88,0.79,-0.9,-0.71,-0.71,-0.71,0,0,-0.94,0.89,0,0,0,0.94,0.94,-0.94,-0.94,-0.94,-0.67,-0.94,0.94,0.84,0,0.95,0.95,0.69,0.87,0,0.95,0.9,-0.94,0.95,-0.92,0,0,-0.8,0.89,0.91,0,0.93,0.96,-0.88,-0.98,0.9,0.94,0.95,-0.94,-0.94,0,0.96,0.99,-0.89,-0.76,-0.88,-0.82,-0.92,0,0.95,0.88,-0.93,0,0.96,0.97,-0.95,-0.91,0.94,-0.95,-0.94,-0.76,-0.92,0.88,0,-0.94,0,-0.95,0,0
"11.5.2",0.73,0.79,0.77,0,0.69,0,0,0,0,0,0.67,0,0.9,0.9,0,-0.68,-0.68,0.68,0.68,0.68,0,0.68,-0.68,0,0.74,0,0,0,0,0,0,0,0.69,-0.67,0.71,0,0.9,0.83,-0.69,-0.69,0,0,0,0,0,0,0,0,0.67,0.67,0.72,0,0,0.73,0.77,0.8,0.67,0.73,0,0,0,0.69,0,0,0,0,0.73,-0.67,0,0.68,0.72,0,-0.68,0.94,0.68,0,0,0,0
"13.1.3",0.93,0.9,0.93,-0.78,0.87,0,0,0,-0.94,0.67,0,-0.86,0.72,0.72,0,-0.92,-0.92,0.92,0.92,0.92,0.73,0.92,-0.92,-0.84,0.78,-0.93,-0.93,0,-0.84,0,-0.92,-0.91,0.92,-0.93,0.91,0,0.72,0.87,-0.88,-0.91,0,-0.84,-0.95,0.9,0.92,-0.81,-0.89,-0.89,1,1,0,-0.91,-0.96,0.84,0.75,0.94,0.91,0.93,0,-0.95,-0.89,0.91,0,-0.92,-0.94,0.9,0.87,-0.91,0.9,0.92,0.83,0.92,-0.84,0,0.92,0,0.95,0,0
"6.2.1",-0.91,-0.83,-0.83,0.94,-0.92,-0.67,-0.67,-0.67,0.89,0,-0.86,0,0,0,0,0.94,0.94,-0.94,-0.94,-0.94,0,-0.94,0.94,0.93,0,0.95,0.94,0.7,0.92,0,0.8,0.94,-0.93,0.95,-0.94,0,0,-0.74,0.96,0.94,0,0.92,0.92,-0.77,-0.88,0.68,0.97,0.94,-0.86,-0.86,0,0.88,0.92,-0.89,-0.77,-0.88,-0.8,-0.89,0,0.93,0.72,-0.94,0,0.94,0.94,-0.92,-0.94,0.95,-0.92,-0.94,-0.78,-0.9,0.97,0,-0.94,0.74,-0.92,0,0
"11.5.1",0,0.67,0.69,0,0,0,0,0,0,0.9,0.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,1,0.88,0,0,0,0,0,0,0,0,0,0,0.72,0.72,0.94,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0
"13.1.1",0,0.67,0.69,0,0,0,0,0,0,0.9,0.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,1,0.88,0,0,0,0,0,0,0,0,0,0,0.72,0.72,0.94,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0
"10.5.1",0,0,0,0,0,-0.91,-0.91,-0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0.71,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69,0,0.76,0.68,-0.75,-0.69,0.67,-0.75,0,0,0,0,0,0,0,0,0,0
"15.1.1",-0.99,-0.93,-0.95,0.84,-0.99,-0.76,-0.76,-0.76,0.94,-0.68,-0.92,0.94,0,0,0,0,1,-1,-1,-1,-0.67,-1,1,0.87,-0.69,1,1,0.84,0.85,0,0.94,0.97,-1,1,-1,0,0,-0.77,0.96,0.96,0,0.86,0.98,-0.82,-0.93,0.8,0.97,0.99,-0.92,-0.92,0,0.87,0.95,-0.95,-0.9,-0.9,-0.91,-0.99,0,0.99,0.88,-1,0,0.97,0.97,-0.96,-0.98,1,-0.96,-1,-0.9,-0.97,0.97,0,-1,0,-0.97,0,0
"3.6.1",-0.99,-0.93,-0.95,0.84,-0.99,-0.76,-0.76,-0.76,0.94,-0.68,-0.92,0.94,0,0,0,1,0,-1,-1,-1,-0.67,-1,1,0.87,-0.69,1,1,0.84,0.85,0,0.94,0.97,-1,1,-1,0,0,-0.77,0.96,0.96,0,0.86,0.98,-0.82,-0.93,0.8,0.97,0.99,-0.92,-0.92,0,0.87,0.95,-0.95,-0.9,-0.9,-0.91,-0.99,0,0.99,0.88,-1,0,0.97,0.97,-0.96,-0.98,1,-0.96,-1,-0.9,-0.97,0.97,0,-1,0,-0.97,0,0
