"","x"
"1","8.9.1"
"2","12.4.2"
"3","2.2.1"
"4","17.17.1"
"5","15.6.1"
"6","12.c.1"
"7","11.1.1"
"8","6.4.1"
"9","7.3.1"
"10","17.8.1"
"11","3.8.2"
"12","1.5.4"
"13","11.b.1"
"14","11.b.2"
"15","13.1.2"
"16","13.1.3"
"17","6.6.1"
"18","17.9.1"
"19","4.5.1"
"20","15.8.1"
"21","8.3.1"
"22","9.5.2"
"23","14.1.1"
"24","11.6.2"
"25","1.5.3"
"26","7.a.1"
"27","11.5.1"
"28","13.1.1"
"29","7.2.1"
"30","2.a.1"
"31","3.b.1"
"32","6.5.1"
"33","3.d.2"
"34","12.b.1"
"35","1.a.2"
"36","6.2.1"
"37","7.1.2"
"38","10.5.1"
"39","17.13.1"
"40","10.4.1"
"41","1.1.1"
"42","7.1.1"
"43","8.1.1"
"44","16.2.2"
"45","2.5.1"
"46","4.3.1"
"47","3.8.1"
"48","4.2.2"
"49","10.c.1"
"50","1.5.2"
"51","11.5.2"
"52","9.5.1"
"53","3.3.5"
"54","8.8.2"
"55","2.1.1"
"56","2.5.2"
"57","6.4.2"
"58","12.a.1"
"59","14.7.1"
"60","9.1.2"
"61","7.b.1"
"62","1.3.1"
"63","9.4.1"
"64","5.b.1"
"65","15.1.1"
"66","2.2.2"
"67","17.1.1"
"68","3.4.1"
"69","3.4.2"
"70","3.6.1"
"71","15.5.1"
"72","3.2.2"
"73","3.3.2"
"74","3.2.1"
"75","16.3.2"
"76","1.2.1"
"77","3.3.3"
"78","10.7.3"
"79","1.4.1"
"80","8.2.1"
"81","1.5.1"
"82","15.2.1"
"83","2.1.2"
"84","17.4.1"
"85","17.3.2"
"86","16.6.1"
"87","17.3.1"
