Indicator,Goal,Target,degree,strength
1.1.1,1,1.1,89,7.422665066000001
1.2.1,1,1.2,89,-5.148795730000001
1.3.1,1,1.3,89,-5.194313640999999
1.4.1,1,1.4,89,6.982347037
1.5.1,1,1.5,89,0.23143874399999953
1.5.2,1,1.5,89,4.48542725
1.5.3,1,1.5,89,-1.7679596160000002
1.5.4,1,1.5,89,3.4695763269999986
1.a.2,1,1.a,89,-4.026738833
10.4.1,10,10.4,89,-4.643440950999998
10.5.1,10,10.5,89,8.431255997000004
10.7.3,10,10.7,89,-3.215107902999999
10.c.1,10,10.c,89,-3.8615860219999987
11.1.1,11,11.1,89,7.8882323069999964
11.5.1,11,11.5,89,0.23143874399999864
11.5.2,11,11.5,89,4.485427249999998
11.6.2,11,11.6,89,7.208567127999998
11.b.1,11,11.b,89,-1.7679596160000002
11.b.2,11,11.b,89,3.4695763269999986
12.4.2,12,12.4,89,6.805339563999997
12.a.1,12,12.a,89,7.5554709880000015
12.b.1,12,12.b,89,-6.102088805999999
12.c.1,12,12.c,89,-1.7243751429999996
13.1.1,13,13.1,89,0.23143874399999864
13.1.2,13,13.1,89,-1.7679596159999993
13.1.3,13,13.1,89,3.4695763269999995
14.1.1,14,14.1,89,-3.0017518730000017
14.7.1,14,14.7,89,4.465742712000002
15.1.1,15,15.1,89,6.533028872999999
15.2.1,15,15.2,89,5.076067180000001
15.5.1,15,15.5,89,-5.2984285579999995
15.6.1,15,15.6,89,7.155544640000002
15.8.1,15,15.8,89,-2.68345904
16.2.2,16,16.2,89,6.586150255999999
16.3.2,16,16.3,89,-5.148795729999999
16.6.1,16,16.6,89,5.853575669000001
17.1.1,17,17.1,89,7.294412359000001
17.13.1,17,17.13,89,-5.093471774
17.17.1,17,17.17,89,-4.038677806
17.3.1,17,17.3,89,-1.8760145950000018
17.3.2,17,17.3,89,-0.19821629300000032
17.4.1,17,17.4,89,-3.335646218000001
17.8.1,17,17.8,89,-4.132102646000001
17.9.1,17,17.9,89,2.8422709399999997
2.1.1,2,2.1,89,7.934490344999999
2.1.2,2,2.1,89,6.162299570999999
2.2.1,2,2.2,89,-3.945166498
2.2.2,2,2.2,89,7.390434787
2.5.1,2,2.5,89,8.809222755999999
2.5.2,2,2.5,89,-3.8495867479999983
2.a.1,2,2.a,89,-2.7406155070000002
2.c.1,2,2.c,89,0.5739337150000006
3.2.1,3,3.2,89,7.258481207999999
3.2.2,3,3.2,89,7.253677479999999
3.3.2,3,3.3,89,-5.115527446999998
3.3.3,3,3.3,89,6.974260328000001
3.3.5,3,3.3,89,7.754287827999998
3.4.1,3,3.4,89,-5.148795729999999
3.4.2,3,3.4,89,7.148795730000001
3.6.1,3,3.6,89,7.148795730000001
3.8.1,3,3.8,89,-5.148795730000001
3.8.2,3,3.8,89,4.763688798999999
3.b.1,3,3.b,89,6.071277852000001
3.d.2,3,3.d,89,7.148795730000001
4.2.2,4,4.2,89,-5.474508726000001
4.3.1,4,4.3,89,7.175651655000001
4.5.1,4,4.5,89,-5.1681796890000005
5.b.1,5,5.b,89,6.958603312000002
6.2.1,6,6.2,89,7.121097979000002
6.4.1,6,6.4,89,-4.587946771000001
6.4.2,6,6.4,89,7.8640406039999995
6.5.1,6,6.5,89,-5.148795729999999
6.6.1,6,6.6,89,-4.4842772659999985
7.1.1,7,7.1,89,6.328024833000001
7.1.2,7,7.1,89,7.397650557
7.2.1,7,7.2,89,-2.4800773559999993
7.3.1,7,7.3,89,7.850524077999999
7.a.1,7,7.a,89,-2.9377493319999988
7.b.1,7,7.b,89,7.5554709880000015
8.1.1,8,8.1,89,5.9827190099999985
8.2.1,8,8.2,89,4.153706643000001
8.3.1,8,8.3,89,-5.182982927000001
8.8.2,8,8.8,89,8.239010668
8.9.1,8,8.9,89,-1.0218777250000008
9.1.2,9,9.1,89,-4.376944144
9.4.1,9,9.4,89,7.661340600999998
9.5.1,9,9.5,89,8.020769283
9.5.2,9,9.5,89,7.258649800999998
