Indicator,Goal,Target,degree,strength
1.1.1,1,1.1,64,6.4209096674150805
1.2.1,1,1.2,64,-8.254706185629765
1.3.1,1,1.3,64,-8.276373745411151
1.4.1,1,1.4,64,6.206913607349381
1.5.1,1,1.5,5,4.368585004822938
1.5.2,1,1.5,3,2.602536977795586
1.5.3,1,1.5,16,5.245359494889608
1.5.4,1,1.5,6,-0.7115250217909379
1.a.2,1,1.a,64,-7.666252174753838
10.4.1,10,10.4,64,-7.977631609514214
10.5.1,10,10.5,63,7.771060713311397
10.7.3,10,10.7,1,0.894391441568839
10.c.1,10,10.c,68,-6.612007391245069
11.1.1,11,11.1,64,6.672785172514612
11.5.1,11,11.5,5,4.368585004822938
11.5.2,11,11.5,3,2.602536977795586
11.6.2,11,11.6,61,5.857717973483183
11.b.1,11,11.b,16,5.245359494889608
11.b.2,11,11.b,6,-0.7115250217909375
12.4.2,12,12.4,60,5.979537045051173
12.a.1,12,12.a,63,6.83450427124868
12.b.1,12,12.b,63,-8.696786209505758
12.c.1,12,12.c,53,-1.0870716464994554
13.1.1,13,13.1,5,4.368585004822938
13.1.2,13,13.1,16,5.245359494889608
13.1.3,13,13.1,6,-0.7115250217909377
14.1.1,14,14.1,66,-4.375085225433111
14.7.1,14,14.7,2,1.656304441432694
15.1.1,15,15.1,64,5.927756776312339
15.2.1,15,15.2,61,4.191081440341645
15.5.1,15,15.5,64,-8.3621283758232
15.6.1,15,15.6,68,4.84111718686026
15.8.1,15,15.8,66,-3.9894434050901695
16.2.2,16,16.2,63,6.519802172400998
16.3.2,16,16.3,64,-8.254706185629852
16.6.1,16,16.6,1,0.826221947396734
17.1.1,17,17.1,64,6.471036172731164
17.13.1,17,17.13,63,-7.152101218542932
17.17.1,17,17.17,4,-0.04783816844368394
17.3.1,17,17.3,1,0.894391441568839
17.3.2,17,17.3,1,0.820443249635
17.4.1,17,17.4,1,-0.767715963766436
17.8.1,17,17.8,68,-5.769662579716391
17.9.1,17,17.9,1,0.676401298579785
2.1.1,2,2.1,64,7.164589484440218
2.1.2,2,2.1,3,0.8259663765134031
2.2.1,2,2.2,68,-5.519233329519566
2.2.2,2,2.2,64,6.499560425554666
2.5.1,2,2.5,62,8.58750739827522
2.5.2,2,2.5,66,-5.063096567070364
2.a.1,2,2.a,65,-7.087587308363273
3.2.1,3,3.2,64,6.378775734102874
3.2.2,3,3.2,64,6.3674430220489695
3.3.2,3,3.3,64,-8.245892366618795
3.3.3,3,3.3,64,6.356199662758159
3.3.5,3,3.3,64,7.007631017345064
3.4.1,3,3.4,64,-8.254706185629908
3.4.2,3,3.4,64,6.254706185629912
3.6.1,3,3.6,64,6.2547061856298996
3.8.1,3,3.8,64,-8.254706185629908
3.8.2,3,3.8,62,4.265824330018513
3.b.1,3,3.b,67,4.616774584274331
3.d.2,3,3.d,64,6.2547061856299155
4.2.2,4,4.2,62,-9.678470944499802
4.3.1,4,4.3,64,6.260975866753249
4.5.1,4,4.5,64,-8.208729624286637
5.b.1,5,5.b,64,6.2669308687485525
6.2.1,6,6.2,64,6.289985658787974
6.4.1,6,6.4,65,-8.385742145054246
6.4.2,6,6.4,63,7.498368181392109
6.5.1,6,6.5,64,-8.254706185629912
6.6.1,6,6.6,68,-6.29906739940135
7.1.1,7,7.1,64,6.033201324434519
7.1.2,7,7.1,64,6.543188167065883
7.2.1,7,7.2,67,-4.046626634972124
7.3.1,7,7.3,64,8.076902981827104
7.a.1,7,7.a,67,-4.099502968402462
7.b.1,7,7.b,63,6.834504271248683
8.1.1,8,8.1,5,0.8097175206409131
8.2.1,8,8.2,12,-1.3135151511979455
8.3.1,8,8.3,67,-6.171761193136721
8.8.2,8,8.8,62,7.961807716739401
8.9.1,8,8.9,54,-3.3008760523126783
9.1.2,9,9.1,67,-5.13935071941719
9.4.1,9,9.4,64,6.556411837932333
9.5.1,9,9.5,63,7.4797306304472615
9.5.2,9,9.5,65,7.023482666673601
