,UniqueID,Goal,Target,Indicator,SeriesCode,SeriesDescription,Source,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,
0,                         ,,,,,,,,,,,,,,,,,
1,AG_FOOD_WST           HHS   A           ,12.0,12.3,12.3.1,AG_FOOD_WST,Food waste (Tonnes),Food Waste Index Report 2021 / WESR,,,,,,,,20938251.72673,,,
2,AG_FOOD_WST           OOHC   A           ,12.0,12.3,12.3.1,AG_FOOD_WST,Food waste (Tonnes),Food Waste Index Report 2021 / WESR,,,,,,,,7482276.76839,,,
3,AG_FOOD_WST           RTL   A           ,12.0,12.3,12.3.1,AG_FOOD_WST,Food waste (Tonnes),Food Waste Index Report 2021 / WESR,,,,,,,,4232646.24761,,,
4,AG_FOOD_WST_PC           HHS   A           ,12.0,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),Food Waste Index Report 2021 / WESR,,,,,,,,77.36981,,,
5,AG_FOOD_WST_PC           OOHC   A           ,12.0,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),Food Waste Index Report 2021 / WESR,,,,,,,,27.64808,,,
6,AG_FOOD_WST_PC           RTL   A           ,12.0,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),Food Waste Index Report 2021 / WESR,,,,,,,,15.64023,,,
7,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,Consumer Food Price Index,,,,,,,,,,,,
8,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,Consumer Food Price Index,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,-0.4,0.6,-0.7,-0.5,0.4,-1.4,-0.3,-0.9,,,
9,AG_FPA_COMM             MAZ            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",,,,,,,,,,,,
10,AG_FPA_COMM             MIL            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",,,,,,,,,,,,
11,AG_FPA_COMM             RIC            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,,,,0.1,-0.6,-0.8,0.0,-0.8,-0.27,,
12,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",,,,,,,,,,,,
13,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,,,,-0.4,0.4,0.1,0.6,0.5,1.2,,
14,AG_LND_DGRD                         ,15.0,15.3,15.3.1,AG_LND_DGRD,Proportion of land that is degraded over total land area (%),Ministry of Environment and Forestry,,,,21.0,,,,,,,
15,AG_LND_FRST                         ,15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),"FAO, Global Forest Resources Assessment and FAOSTAT",,,,50.61355,50.74345,50.03933,49.71682,49.3943,49.07178,,
16,AG_LND_FRSTBIOPHA                         ,15.0,15.2,15.2.1,AG_LND_FRSTBIOPHA,Above-ground biomass stock in forest (tonnes per hectare),"FAO, Global Forest Resources Assessment",,,,178.95,178.89,178.95,178.95,178.95,178.95,,
17,AG_LND_FRSTCERT                         ,15.0,15.2,15.2.1,AG_LND_FRSTCERT,Forest area under an independently verified forest management certification scheme (thousands of hectares),"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,,,2756.041,4527.564,6251.341,6786.685,6726.871,7083.647,,
18,AG_LND_FRSTCHG                         ,15.0,15.2,15.2.1,AG_LND_FRSTCHG,Forest area annual net change rate (%),"FAO, Global Forest Resources Assessment",,,,,,,,,-0.78,,
