,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
0,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2014.0,8.8
1,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,7.9
2,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,7.0
3,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,4.3
4,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,6.3
5,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,10.7
6,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,10.3
7,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,2.7
8,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,5.3
9,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,10.9
10,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,5.7
11,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,8.9
12,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,3.0
13,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,4.6
14,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,8.6
15,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,7.7
16,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,9.4
17,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,4.4
18,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,7.1
19,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,4.2
20,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,8.2
21,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,6.2
22,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,6.6
23,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,7.9
24,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,3.8
25,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,5.0
26,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,8.1
27,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2014.0,2.5
28,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2015.0,4.3
29,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2015.0,5.4
30,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2015.0,6.5
31,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2015.0,3.2
32,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2015.0,7.3
