,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
0,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2012.0,9.5
1,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2013.0,7.3
2,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2014.0,6.2
3,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2015.0,5.8
4,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2016.0,5.2
5,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2017.0,4.5
6,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2018.0,3.6
7,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2019.0,2.7
71,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2015.0,11.2
72,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2016.0,10.9
73,SI_POV_NAHC          ALLAREA               ,1.0,1.2,1.2.1,SI_POV_NAHC,2017.0,10.6
74,SI_COV_MATNL FEMALE                        ,1.0,1.3,1.3.1,SI_COV_MATNL,2020.0,28.4
162,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2012.0,900280012.28
163,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2013.0,704391153.609
164,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2014.0,980674664.035
165,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2015.0,1394728642.3455
166,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2016.0,964488708.07025
167,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2017.0,491251258.85
168,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2018.0,432797245.7875
169,VC_DSR_GDPLS                         ,1.0,1.5,1.5.2,VC_DSR_GDPLS,2019.0,1285046970.0305
170,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2012.0,38.0
171,VC_DSR_MISS                         ,1.0,1.5,1.5.1,VC_DSR_MISS,2013.0,44.0
