,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value
0,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2012.0,9.5
1,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2013.0,7.3
2,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2014.0,6.2
3,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2015.0,5.8
4,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2016.0,5.2
5,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2017.0,4.5
6,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2018.0,3.6
7,SI_POV_DAY1                         ,1.0,1.1,1.1.1,SI_POV_DAY1,2019.0,2.7
8,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,7.8
9,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.4
10,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.5
11,SI_POV_EMP1 MALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,9.5
12,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.3
13,SI_POV_EMP1 BOTHSEX                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.9
14,SI_POV_EMP1 BOTHSEX                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.2
15,SI_POV_EMP1 MALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.0
16,SI_POV_EMP1 MALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2012.0,8.2
17,SI_POV_EMP1 FEMALE                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,7.2
18,SI_POV_EMP1 FEMALE                 25+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,7.4
19,SI_POV_EMP1 BOTHSEX                 15+       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,7.0
20,SI_POV_EMP1 FEMALE                 15-24       ,1.0,1.1,1.1.1,SI_POV_EMP1,2013.0,6.6
