"Goal","Target","Indicator","SeriesCode","UniqueID"
1,"1.1","1.1.1","SI_POV_EMP1","SI_POV_EMP1 BOTHSEX                 15+"
1,"1.2","1.2.1","SI_POV_NAHC","SI_POV_NAHC          ALLAREA"
1,"1.3","1.3.1","SI_COV_SOCAST","SI_COV_SOCAST                       Q1"
1,"1.4","1.4.1","SP_ACS_BSRVH2O","SP_ACS_BSRVH2O          RURAL"
1,"1.5","1.5.4","SG_DSR_SILN","SG_DSR_SILN"
1,"1.a","1.a.1","DC_ODA_POVLG","DC_ODA_POVLG"
2,"2.1","2.1.1","SN_ITK_DEFC","SN_ITK_DEFC"
2,"2.2","2.2.1","SH_STA_STNT","SH_STA_STNT                  <5Y"
2,"2.3","2.3.1","PD_AGR_LSFP","PD_AGR_LSFP BOTHSEX"
2,"2.5","2.5.1","ER_GRF_ANIMRCNTN","ER_GRF_ANIMRCNTN"
2,"2.a","2.a.1","AG_XPD_AGSGB","AG_XPD_AGSGB              A"
2,"2.b","2.b.1","AG_PRD_XSUBDY","AG_PRD_XSUBDY"
2,"2.c","2.c.1","AG_FPA_CFPI","AG_FPA_CFPI"
3,"3.1","3.1.1","SH_STA_MORT","SH_STA_MORT FEMALE"
3,"3.2","3.2.1","SH_DYN_MORTN","SH_DYN_MORTN FEMALE                 <5Y"
3,"3.3","3.3.3","SH_STA_MALR","SH_STA_MALR"
3,"3.4","3.4.1","SH_DTH_NCD","SH_DTH_NCD BOTHSEX               CAN"
3,"3.5","3.5.1","SH_SUD_ALCOL","SH_SUD_ALCOL BOTHSEX                 15+"
3,"3.6","3.6.1","SH_STA_TRAF","SH_STA_TRAF BOTHSEX"
3,"3.7","3.7.1","SH_FPL_MTMM","SH_FPL_MTMM FEMALE                 15-49"
3,"3.8","3.8.1","SH_ACS_UNHC","SH_ACS_UNHC"
3,"3.9","3.9.1","SH_AAP_ASMORT","SH_AAP_ASMORT"
3,"3.a","3.a.1","SH_PRV_SMOK","SH_PRV_SMOK BOTHSEX                 15+"
3,"3.b","3.b.1","SH_ACS_DTP3","SH_ACS_DTP3"
3,"3.c","3.c.1","SH_MED_DEN","SH_MED_DEN               DENT"
3,"3.d","3.d.1","SH_IHR_CAPS","SH_IHR_CAPS                        IHR09"
4,"4.1","4.1.1","SE_TOT_PRFL","SE_TOT_PRFL MALE       SKILL_MATH LOWSEC"
4,"4.2","4.2.1","SE_DEV_ONTRK","SE_DEV_ONTRK BOTHSEX                 M36T59"
4,"4.3","4.3.1","SE_ADT_EDUCTRN","SE_ADT_EDUCTRN BOTHSEX"
4,"4.4","4.4.1","SE_ADT_ACTS","SE_ADT_ACTS BOTHSEX       PCPR"
4,"4.5","4.5.1","SE_ALP_CPLR","SE_ALP_CPLR BOTHSEX        LOWSEC              _T"
4,"4.7","4.7.1","SE_GCEDESD_CUR","SE_GCEDESD_CUR"
4,"4.a","4.a.1","SE_ACS_H2O","SE_ACS_H2O         PRIMAR"
4,"4.b","4.b.1","DC_TOF_SCHIPSL","DC_TOF_SCHIPSL"
5,"5.2","5.2.1","VC_VAW_MARR","VC_VAW_MARR FEMALE                 15+"
5,"5.3","5.3.1","SP_DYN_MRBF15","SP_DYN_MRBF15 FEMALE                 20-24"
