Index,pdf_name,definition
1.1.1,SDG-indicator-pdfs/Metadata-01-01-01a.pdf,The indicator “proportion of the population below the international poverty line” is defined as the percentage of the population living on less than $1.90 a day at 2011 international prices.
1.2.1,SDG-indicator-pdfs/Metadata-01-02-01.pdf,"The national poverty rate is the percentage of the total population living below the national poverty line. The rural poverty rate is the percentage of the rural population living below the national poverty line (or in cases where a separate, rural poverty line is used, the rural poverty line). Urban poverty rate is the percentage of the urban population living below the national poverty line (or in cases where a separate, urban poverty line is used, the urban poverty line)."
1.2.2,SDG-indicator-pdfs/Metadata-01-02-02.pdf,"The following four series are used to monitor the SDG 1.2.2. 1) Official multidimensional poverty headcount, by sex, and age (% of population) - The percentage of people who are multidimensionally poor 2) Average share of weighted deprivations (intensity) for total population - The average share of weighted dimensions in which poor people are deprived among total population 3) Official multidimensional poverty headcount (% of total households) - The percentage of households who are multidimensionally poor 4) Average share of weighted deprivations (intensity) for total households - The average share of weighted dimensions in which poor people are deprived among total households Last updated: May 2021 5) Multidimensional deprivation for children (% of population under 18) - The percentage of children who are simultaneously deprived in multiple dimensions of well-being"
1.3.1,SDG-indicator-pdfs/Metadata-01-03-01a.pdf,"The indicator reflects the proportion of persons effectively covered by a social protection system, including social protection floors. It also reflects the main components of social protection: child and Last updated: January 2021 maternity benefits, support for persons without a job, persons with disabilities, victims of work injuries and older persons. Effective coverage of social protection is measured by the number of people who are either actively contributing to a social insurance scheme or receiving benefits (contributory or non-contributory)."
1.4.1,SDG-indicator-pdfs/Metadata-01-04-01.pdf,
1.4.2,SDG-indicator-pdfs/Metadata-01-04-02.pdf,"Indicator 1.4.2 measures the relevant part of Target 1.4 (ensure men and women have equal rights to economic resources, as well as access to …, ownership of and control over land and other forms of Last reviewed: August 2021 property, inheritance, natural resources). It measures the results of policies that aim to strengthen tenure security for all, including women and other vulnerable groups. Indicator 1.4.2 covers (a) all types of land use (such as residential, commercial, agricultural, forestry, grazing, wetlands based on standard land-use classification) in both rural and urban areas; and (b) all land tenure types as recognized at the country level, such as freehold, leasehold, public land, customary land. An individual can hold land in his/her own name, jointly with other individuals, as a member of a household, or collectively as member of group1, cooperative or other type of association. Secure tenure rights: comprised of two sub-components: (i) legally recognized documentation and (ii) perception of the security of tenure, which are both necessary to provide a full measurement of tenure security. Legally recognized documentation: Legal documentation of rights refers to the recording and publication of information on the nature and location of land, rights and right holders in a form that is recognized by government, and is therefore official. For purposes of computing SDG Indicator 1.4.2, the country specific metadata will define what documentation on land rights will be counted as legally recognized (see next section for rationale). Perceived security of tenure: Perception of tenure security refers to an individual’s perception of the likelihood of involuntary loss of land, such as disagreement of the ownership rights over land or ability to use it, regardless of the formal status and can be more optimistic or pessimistic. Although those without land rights’ documentation may frequently be perceived to be under threat, and those with documentation perceived as protected, there may be situations where documented land rights alone are insufficient to guarantee tenure security. Conversely, even without legally recognized documentation, individuals may feel themselves to be protected against eviction or dispossession. Therefore, capturing and analysing these diverse ranges of situations will enable a more comprehensive understanding of land tenure security, based on a country specific context. For purposes of constructing the indicator (see next section for rationale), we define perceptions of tenure to be secure if: (i) The landholder does not report a fear of involuntary loss of the land within the next five years due to, for example, intra-family, community or external threats and (ii) The landholder reports having the right to bequeath the land. Total adult population: A country’s adult population2 is measured by census data or through surveys using an adequate sampling frame. Interpretation: One motivation that makes the indicator actionable is that, in many developing countries, the gap between data on the availability of documentation and on perception of tenure security can be large. For example, tenure may be perceived as secure, even though rights are not formally documented, as in the case of customary systems and trusted local land governance arrangements. Or, the opposite, tenure may be 1 Group rights include shared or collective rights, and examples include the ejido in Mexico, indigenous territories in Honduras, perpetual DUAT for rural communities in Mozambique. Collective rights occur in a situation where holders of rights to land and natural resources are clearly defined as a collective group and have the right to exclude third parties from the enjoyment of those rights. 2 Country specific legal definition of an ‘adult’ will be applied. Last reviewed: August 2021 perceived as insecure even when there is a high level of formal documentation of rights. The latter situation can be caused by various factors, including limited trust in land administration services, possible duplicated documents, high cost of having state institutions protecting such rights. Reporting on perceived security will provide important information on people’s satisfaction with the institutional quality of service, transparency, appropriateness, accessibility and affordability of land administration services and justice systems."
1.5.1,SDG-indicator-pdfs/Metadata-01-05-01.pdf,"This indicator measures the number of people who died, went missing or were directly affected by disasters per 100,000 population."
1.5.2,SDG-indicator-pdfs/Metadata-01-05-02.pdf,This indicator measures the ratio of direct economic loss attributed to disasters in relation to GDP.
1.5.3,SDG-indicator-pdfs/Metadata-01-05-03.pdf,
1.5.4,SDG-indicator-pdfs/Metadata-01-05-04.pdf,
